model,feature,training_correlation,absolute_training_correlation,minimum_absolute_correlation,meets_correlation_threshold,subperiod_sign_agreement,sign_stable,stability_required,orientation_supported,orientation_sign,transformation,orientation_training_observations,orientation_source,training_subperiod_1_correlation,training_subperiod_2_correlation,training_subperiod_3_correlation
Choquet 1-additive,vix,-0.041084053859435754,0.041084053859435754,0.2,False,0.6666666666666666,False,False,False,1.0,unchanged (below absolute correlation threshold),1000,training only (frozen before validation refit),-0.13202954172683035,0.006258976085114006,-0.22291730920567632
Choquet 1-additive,realized_volatility_20d,0.0694068372863291,0.0694068372863291,0.2,False,0.6666666666666666,False,False,False,1.0,unchanged (below absolute correlation threshold),1000,training only (frozen before validation refit),0.018068822279316655,0.1182321265563213,-0.13956791362888732
Choquet 1-additive,drawdown_severity,-0.043237135524027484,0.043237135524027484,0.2,False,1.0,True,False,False,1.0,unchanged (below absolute correlation threshold),1000,training only (frozen before validation refit),-0.14566270481241983,-0.06564638273324867,-0.2089575357251765
Choquet 1-additive,liquidity_stress_20d,0.012488740454497585,0.012488740454497585,0.2,False,0.6666666666666666,False,False,False,1.0,unchanged (below absolute correlation threshold),1000,training only (frozen before validation refit),-0.06425577588404713,0.0007304011284063156,0.011099723152083674
Choquet 1-additive,baa_credit_spread_pct,-0.019686688367977614,0.019686688367977614,0.2,False,1.0,True,False,False,1.0,unchanged (below absolute correlation threshold),1000,training only (frozen before validation refit),-0.1118918186416911,-0.1210441107924708,-0.01787842820825034
Choquet 1-additive,term_spread_10y_2y_pct,0.002646890203953052,0.002646890203953052,0.2,False,0.3333333333333333,False,False,False,1.0,unchanged (below absolute correlation threshold),1000,training only (frozen before validation refit),-0.19247229165081278,0.14609851742792776,-0.05446980001779888
Choquet 1-additive,average_equity_correlation_60d,0.0283634999262685,0.0283634999262685,0.2,False,0.3333333333333333,False,False,False,1.0,unchanged (below absolute correlation threshold),1000,training only (frozen before validation refit),-0.09425508676280331,0.04044473806108964,-0.16992039385637547
Choquet 1-additive,negative_momentum_21d,-0.050359131867304584,0.050359131867304584,0.2,False,0.6666666666666666,False,False,False,1.0,unchanged (below absolute correlation threshold),1000,training only (frozen before validation refit),-0.15797628294883972,0.0030413666328382737,-0.09862331255559828
Choquet 1-additive,lagged_portfolio_loss_1d,-0.05536700022675313,0.05536700022675313,0.2,False,1.0,True,False,False,1.0,unchanged (below absolute correlation threshold),1000,training only (frozen before validation refit),-0.04393942024002606,-0.0709702922769687,-0.03601510919414134
Choquet 1-additive scaled-q,market_loss_1d,-0.04575591632308663,0.04575591632308663,0.2,False,1.0,True,False,False,1.0,unchanged (below absolute correlation threshold),1000,training only (frozen before validation refit),-0.013552236580430728,-0.07307082599251008,-0.03576310796671316
Choquet 1-additive scaled-q,vix,-0.041084053859435754,0.041084053859435754,0.2,False,0.6666666666666666,False,False,False,1.0,unchanged (below absolute correlation threshold),1000,training only (frozen before validation refit),-0.13202954172683035,0.006258976085114006,-0.22291730920567632
Choquet 1-additive scaled-q,realized_volatility_20d,0.0694068372863291,0.0694068372863291,0.2,False,0.6666666666666666,False,False,False,1.0,unchanged (below absolute correlation threshold),1000,training only (frozen before validation refit),0.018068822279316655,0.1182321265563213,-0.13956791362888732
Choquet 1-additive scaled-q,drawdown_severity,-0.043237135524027484,0.043237135524027484,0.2,False,1.0,True,False,False,1.0,unchanged (below absolute correlation threshold),1000,training only (frozen before validation refit),-0.14566270481241983,-0.06564638273324867,-0.2089575357251765
Choquet 1-additive scaled-q,liquidity_stress_20d,0.012488740454497585,0.012488740454497585,0.2,False,0.6666666666666666,False,False,False,1.0,unchanged (below absolute correlation threshold),1000,training only (frozen before validation refit),-0.06425577588404713,0.0007304011284063156,0.011099723152083674
Choquet 1-additive scaled-q,baa_credit_spread_pct,-0.019686688367977614,0.019686688367977614,0.2,False,1.0,True,False,False,1.0,unchanged (below absolute correlation threshold),1000,training only (frozen before validation refit),-0.1118918186416911,-0.1210441107924708,-0.01787842820825034
Choquet 1-additive scaled-q,term_spread_10y_2y_pct,0.002646890203953052,0.002646890203953052,0.2,False,0.3333333333333333,False,False,False,1.0,unchanged (below absolute correlation threshold),1000,training only (frozen before validation refit),-0.19247229165081278,0.14609851742792776,-0.05446980001779888
Choquet 1-additive scaled-q,average_equity_correlation_60d,0.0283634999262685,0.0283634999262685,0.2,False,0.3333333333333333,False,False,False,1.0,unchanged (below absolute correlation threshold),1000,training only (frozen before validation refit),-0.09425508676280331,0.04044473806108964,-0.16992039385637547
Choquet 1-additive scaled-q,negative_momentum_21d,-0.050359131867304584,0.050359131867304584,0.2,False,0.6666666666666666,False,False,False,1.0,unchanged (below absolute correlation threshold),1000,training only (frozen before validation refit),-0.15797628294883972,0.0030413666328382737,-0.09862331255559828
Choquet 1-additive scaled-q,lagged_portfolio_loss_1d,-0.05536700022675313,0.05536700022675313,0.2,False,1.0,True,False,False,1.0,unchanged (below absolute correlation threshold),1000,training only (frozen before validation refit),-0.04393942024002606,-0.0709702922769687,-0.03601510919414134
Choquet 2-additive,market_loss_1d,-0.04575591632308663,0.04575591632308663,0.2,False,1.0,True,False,False,1.0,unchanged (below absolute correlation threshold),1000,training only (frozen before validation refit),-0.013552236580430728,-0.07307082599251008,-0.03576310796671316
Choquet 2-additive,vix,-0.041084053859435754,0.041084053859435754,0.2,False,0.6666666666666666,False,False,False,1.0,unchanged (below absolute correlation threshold),1000,training only (frozen before validation refit),-0.13202954172683035,0.006258976085114006,-0.22291730920567632
Choquet 2-additive,realized_volatility_20d,0.0694068372863291,0.0694068372863291,0.2,False,0.6666666666666666,False,False,False,1.0,unchanged (below absolute correlation threshold),1000,training only (frozen before validation refit),0.018068822279316655,0.1182321265563213,-0.13956791362888732
Choquet 2-additive,drawdown_severity,-0.043237135524027484,0.043237135524027484,0.2,False,1.0,True,False,False,1.0,unchanged (below absolute correlation threshold),1000,training only (frozen before validation refit),-0.14566270481241983,-0.06564638273324867,-0.2089575357251765
Choquet 2-additive,liquidity_stress_20d,0.012488740454497585,0.012488740454497585,0.2,False,0.6666666666666666,False,False,False,1.0,unchanged (below absolute correlation threshold),1000,training only (frozen before validation refit),-0.06425577588404713,0.0007304011284063156,0.011099723152083674
Choquet 2-additive,baa_credit_spread_pct,-0.019686688367977614,0.019686688367977614,0.2,False,1.0,True,False,False,1.0,unchanged (below absolute correlation threshold),1000,training only (frozen before validation refit),-0.1118918186416911,-0.1210441107924708,-0.01787842820825034
Choquet 2-additive,term_spread_10y_2y_pct,0.002646890203953052,0.002646890203953052,0.2,False,0.3333333333333333,False,False,False,1.0,unchanged (below absolute correlation threshold),1000,training only (frozen before validation refit),-0.19247229165081278,0.14609851742792776,-0.05446980001779888
Choquet 2-additive,average_equity_correlation_60d,0.0283634999262685,0.0283634999262685,0.2,False,0.3333333333333333,False,False,False,1.0,unchanged (below absolute correlation threshold),1000,training only (frozen before validation refit),-0.09425508676280331,0.04044473806108964,-0.16992039385637547
Choquet 2-additive,negative_momentum_21d,-0.050359131867304584,0.050359131867304584,0.2,False,0.6666666666666666,False,False,False,1.0,unchanged (below absolute correlation threshold),1000,training only (frozen before validation refit),-0.15797628294883972,0.0030413666328382737,-0.09862331255559828
Choquet 2-additive,lagged_portfolio_loss_1d,-0.05536700022675313,0.05536700022675313,0.2,False,1.0,True,False,False,1.0,unchanged (below absolute correlation threshold),1000,training only (frozen before validation refit),-0.04393942024002606,-0.0709702922769687,-0.03601510919414134
Choquet 2-additive L1,market_loss_1d,-0.04575591632308663,0.04575591632308663,0.2,False,1.0,True,False,False,1.0,unchanged (below absolute correlation threshold),1000,training only (frozen before validation refit),-0.013552236580430728,-0.07307082599251008,-0.03576310796671316
Choquet 2-additive L1,vix,-0.041084053859435754,0.041084053859435754,0.2,False,0.6666666666666666,False,False,False,1.0,unchanged (below absolute correlation threshold),1000,training only (frozen before validation refit),-0.13202954172683035,0.006258976085114006,-0.22291730920567632
Choquet 2-additive L1,realized_volatility_20d,0.0694068372863291,0.0694068372863291,0.2,False,0.6666666666666666,False,False,False,1.0,unchanged (below absolute correlation threshold),1000,training only (frozen before validation refit),0.018068822279316655,0.1182321265563213,-0.13956791362888732
Choquet 2-additive L1,drawdown_severity,-0.043237135524027484,0.043237135524027484,0.2,False,1.0,True,False,False,1.0,unchanged (below absolute correlation threshold),1000,training only (frozen before validation refit),-0.14566270481241983,-0.06564638273324867,-0.2089575357251765
Choquet 2-additive L1,liquidity_stress_20d,0.012488740454497585,0.012488740454497585,0.2,False,0.6666666666666666,False,False,False,1.0,unchanged (below absolute correlation threshold),1000,training only (frozen before validation refit),-0.06425577588404713,0.0007304011284063156,0.011099723152083674
Choquet 2-additive L1,baa_credit_spread_pct,-0.019686688367977614,0.019686688367977614,0.2,False,1.0,True,False,False,1.0,unchanged (below absolute correlation threshold),1000,training only (frozen before validation refit),-0.1118918186416911,-0.1210441107924708,-0.01787842820825034
Choquet 2-additive L1,term_spread_10y_2y_pct,0.002646890203953052,0.002646890203953052,0.2,False,0.3333333333333333,False,False,False,1.0,unchanged (below absolute correlation threshold),1000,training only (frozen before validation refit),-0.19247229165081278,0.14609851742792776,-0.05446980001779888
Choquet 2-additive L1,average_equity_correlation_60d,0.0283634999262685,0.0283634999262685,0.2,False,0.3333333333333333,False,False,False,1.0,unchanged (below absolute correlation threshold),1000,training only (frozen before validation refit),-0.09425508676280331,0.04044473806108964,-0.16992039385637547
Choquet 2-additive L1,negative_momentum_21d,-0.050359131867304584,0.050359131867304584,0.2,False,0.6666666666666666,False,False,False,1.0,unchanged (below absolute correlation threshold),1000,training only (frozen before validation refit),-0.15797628294883972,0.0030413666328382737,-0.09862331255559828
Choquet 2-additive L1,lagged_portfolio_loss_1d,-0.05536700022675313,0.05536700022675313,0.2,False,1.0,True,False,False,1.0,unchanged (below absolute correlation threshold),1000,training only (frozen before validation refit),-0.04393942024002606,-0.0709702922769687,-0.03601510919414134
Choquet 2-additive scaled-q,market_loss_1d,-0.04575591632308663,0.04575591632308663,0.2,False,1.0,True,False,False,1.0,unchanged (below absolute correlation threshold),1000,training only (frozen before validation refit),-0.013552236580430728,-0.07307082599251008,-0.03576310796671316
Choquet 2-additive scaled-q,vix,-0.041084053859435754,0.041084053859435754,0.2,False,0.6666666666666666,False,False,False,1.0,unchanged (below absolute correlation threshold),1000,training only (frozen before validation refit),-0.13202954172683035,0.006258976085114006,-0.22291730920567632
Choquet 2-additive scaled-q,realized_volatility_20d,0.0694068372863291,0.0694068372863291,0.2,False,0.6666666666666666,False,False,False,1.0,unchanged (below absolute correlation threshold),1000,training only (frozen before validation refit),0.018068822279316655,0.1182321265563213,-0.13956791362888732
Choquet 2-additive scaled-q,drawdown_severity,-0.043237135524027484,0.043237135524027484,0.2,False,1.0,True,False,False,1.0,unchanged (below absolute correlation threshold),1000,training only (frozen before validation refit),-0.14566270481241983,-0.06564638273324867,-0.2089575357251765
Choquet 2-additive scaled-q,liquidity_stress_20d,0.012488740454497585,0.012488740454497585,0.2,False,0.6666666666666666,False,False,False,1.0,unchanged (below absolute correlation threshold),1000,training only (frozen before validation refit),-0.06425577588404713,0.0007304011284063156,0.011099723152083674
Choquet 2-additive scaled-q,baa_credit_spread_pct,-0.019686688367977614,0.019686688367977614,0.2,False,1.0,True,False,False,1.0,unchanged (below absolute correlation threshold),1000,training only (frozen before validation refit),-0.1118918186416911,-0.1210441107924708,-0.01787842820825034
Choquet 2-additive scaled-q,term_spread_10y_2y_pct,0.002646890203953052,0.002646890203953052,0.2,False,0.3333333333333333,False,False,False,1.0,unchanged (below absolute correlation threshold),1000,training only (frozen before validation refit),-0.19247229165081278,0.14609851742792776,-0.05446980001779888
Choquet 2-additive scaled-q,average_equity_correlation_60d,0.0283634999262685,0.0283634999262685,0.2,False,0.3333333333333333,False,False,False,1.0,unchanged (below absolute correlation threshold),1000,training only (frozen before validation refit),-0.09425508676280331,0.04044473806108964,-0.16992039385637547
Choquet 2-additive scaled-q,negative_momentum_21d,-0.050359131867304584,0.050359131867304584,0.2,False,0.6666666666666666,False,False,False,1.0,unchanged (below absolute correlation threshold),1000,training only (frozen before validation refit),-0.15797628294883972,0.0030413666328382737,-0.09862331255559828
Choquet 2-additive scaled-q,lagged_portfolio_loss_1d,-0.05536700022675313,0.05536700022675313,0.2,False,1.0,True,False,False,1.0,unchanged (below absolute correlation threshold),1000,training only (frozen before validation refit),-0.04393942024002606,-0.0709702922769687,-0.03601510919414134
Choquet 2-additive scaled-q L1,market_loss_1d,-0.04575591632308663,0.04575591632308663,0.2,False,1.0,True,False,False,1.0,unchanged (below absolute correlation threshold),1000,training only (frozen before validation refit),-0.013552236580430728,-0.07307082599251008,-0.03576310796671316
Choquet 2-additive scaled-q L1,vix,-0.041084053859435754,0.041084053859435754,0.2,False,0.6666666666666666,False,False,False,1.0,unchanged (below absolute correlation threshold),1000,training only (frozen before validation refit),-0.13202954172683035,0.006258976085114006,-0.22291730920567632
Choquet 2-additive scaled-q L1,realized_volatility_20d,0.0694068372863291,0.0694068372863291,0.2,False,0.6666666666666666,False,False,False,1.0,unchanged (below absolute correlation threshold),1000,training only (frozen before validation refit),0.018068822279316655,0.1182321265563213,-0.13956791362888732
Choquet 2-additive scaled-q L1,drawdown_severity,-0.043237135524027484,0.043237135524027484,0.2,False,1.0,True,False,False,1.0,unchanged (below absolute correlation threshold),1000,training only (frozen before validation refit),-0.14566270481241983,-0.06564638273324867,-0.2089575357251765
Choquet 2-additive scaled-q L1,liquidity_stress_20d,0.012488740454497585,0.012488740454497585,0.2,False,0.6666666666666666,False,False,False,1.0,unchanged (below absolute correlation threshold),1000,training only (frozen before validation refit),-0.06425577588404713,0.0007304011284063156,0.011099723152083674
Choquet 2-additive scaled-q L1,baa_credit_spread_pct,-0.019686688367977614,0.019686688367977614,0.2,False,1.0,True,False,False,1.0,unchanged (below absolute correlation threshold),1000,training only (frozen before validation refit),-0.1118918186416911,-0.1210441107924708,-0.01787842820825034
Choquet 2-additive scaled-q L1,term_spread_10y_2y_pct,0.002646890203953052,0.002646890203953052,0.2,False,0.3333333333333333,False,False,False,1.0,unchanged (below absolute correlation threshold),1000,training only (frozen before validation refit),-0.19247229165081278,0.14609851742792776,-0.05446980001779888
Choquet 2-additive scaled-q L1,average_equity_correlation_60d,0.0283634999262685,0.0283634999262685,0.2,False,0.3333333333333333,False,False,False,1.0,unchanged (below absolute correlation threshold),1000,training only (frozen before validation refit),-0.09425508676280331,0.04044473806108964,-0.16992039385637547
Choquet 2-additive scaled-q L1,negative_momentum_21d,-0.050359131867304584,0.050359131867304584,0.2,False,0.6666666666666666,False,False,False,1.0,unchanged (below absolute correlation threshold),1000,training only (frozen before validation refit),-0.15797628294883972,0.0030413666328382737,-0.09862331255559828
Choquet 2-additive scaled-q L1,lagged_portfolio_loss_1d,-0.05536700022675313,0.05536700022675313,0.2,False,1.0,True,False,False,1.0,unchanged (below absolute correlation threshold),1000,training only (frozen before validation refit),-0.04393942024002606,-0.0709702922769687,-0.03601510919414134
Fuzzy Choquet neural network,market_loss_1d,-0.04575591632308663,0.04575591632308663,0.2,False,1.0,True,False,False,1.0,unchanged (below absolute correlation threshold),1000,training only (frozen before validation refit),-0.013552236580430728,-0.07307082599251008,-0.03576310796671316
Fuzzy Choquet neural network,vix,-0.041084053859435754,0.041084053859435754,0.2,False,0.6666666666666666,False,False,False,1.0,unchanged (below absolute correlation threshold),1000,training only (frozen before validation refit),-0.13202954172683035,0.006258976085114006,-0.22291730920567632
Fuzzy Choquet neural network,realized_volatility_20d,0.0694068372863291,0.0694068372863291,0.2,False,0.6666666666666666,False,False,False,1.0,unchanged (below absolute correlation threshold),1000,training only (frozen before validation refit),0.018068822279316655,0.1182321265563213,-0.13956791362888732
Fuzzy Choquet neural network,drawdown_severity,-0.043237135524027484,0.043237135524027484,0.2,False,1.0,True,False,False,1.0,unchanged (below absolute correlation threshold),1000,training only (frozen before validation refit),-0.14566270481241983,-0.06564638273324867,-0.2089575357251765
Fuzzy Choquet neural network,liquidity_stress_20d,0.012488740454497585,0.012488740454497585,0.2,False,0.6666666666666666,False,False,False,1.0,unchanged (below absolute correlation threshold),1000,training only (frozen before validation refit),-0.06425577588404713,0.0007304011284063156,0.011099723152083674
Fuzzy Choquet neural network,baa_credit_spread_pct,-0.019686688367977614,0.019686688367977614,0.2,False,1.0,True,False,False,1.0,unchanged (below absolute correlation threshold),1000,training only (frozen before validation refit),-0.1118918186416911,-0.1210441107924708,-0.01787842820825034
Fuzzy Choquet neural network,term_spread_10y_2y_pct,0.002646890203953052,0.002646890203953052,0.2,False,0.3333333333333333,False,False,False,1.0,unchanged (below absolute correlation threshold),1000,training only (frozen before validation refit),-0.19247229165081278,0.14609851742792776,-0.05446980001779888
Fuzzy Choquet neural network,average_equity_correlation_60d,0.0283634999262685,0.0283634999262685,0.2,False,0.3333333333333333,False,False,False,1.0,unchanged (below absolute correlation threshold),1000,training only (frozen before validation refit),-0.09425508676280331,0.04044473806108964,-0.16992039385637547
Fuzzy Choquet neural network,negative_momentum_21d,-0.050359131867304584,0.050359131867304584,0.2,False,0.6666666666666666,False,False,False,1.0,unchanged (below absolute correlation threshold),1000,training only (frozen before validation refit),-0.15797628294883972,0.0030413666328382737,-0.09862331255559828
Fuzzy Choquet neural network,lagged_portfolio_loss_1d,-0.05536700022675313,0.05536700022675313,0.2,False,1.0,True,False,False,1.0,unchanged (below absolute correlation threshold),1000,training only (frozen before validation refit),-0.04393942024002606,-0.0709702922769687,-0.03601510919414134
